Generation, Fitness, Average
0, 0, 5
1, 8, 5
2, 10, 6
3, 10, 6
4, 10, 6
5, 10, 6
6, 11, 7
7, 11, 7
8, 11, 7
9, 11, 7
10, 11, 7
11, 13, 8
12, 13, 8
13, 13, 8
14, 13, 8
15, 13, 8
16, 13, 8
17, 13, 9
18, 13, 9
19, 13, 9
20, 14, 9
21, 14, 10
22, 14, 10
23, 14, 10
24, 14, 10
25, 14, 11
26, 14, 11
27, 15, 11
28, 15, 11
29, 16, 12
30, 16, 12
31, 17, 12
32, 17, 13
33, 17, 13
34, 17, 13
35, 17, 13
36, 17, 14
37, 17, 14
38, 18, 14
39, 18, 15
40, 19, 15
41, 19, 15
42, 19, 15
43, 20, 15
44, 20, 16
45, 21, 16
46, 21, 16
47, 21, 16
48, 21, 16
49, 21, 17
50, 21, 17
51, 21, 17
52, 21, 18
53, 21, 17
54, 21, 18
55, 21, 18
56, 21, 18
57, 21, 18
58, 21, 18
59, 21, 18
60, 21, 18
61, 21, 18
62, 21, 18
63, 21, 18
64, 21, 18
65, 21, 19
66, 21, 19
67, 21, 19
68, 21, 19
69, 21, 19
70, 21, 20
71, 21, 19
72, 21, 19
73, 21, 19
74, 21, 19
75, 21, 19
76, 21, 19
77, 21, 19
78, 21, 19
79, 21, 19
80, 21, 19
81, 21, 19
82, 21, 19
83, 21, 20
84, 21, 20
85, 21, 20
86, 21, 19
87, 21, 19
88, 21, 19
89, 21, 19
90, 21, 19
91, 21, 20
92, 21, 19
93, 21, 19
94, 21, 19
95, 21, 19
96, 21, 20
97, 21, 19
98, 21, 19
99, 21, 19
